Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position
1,Nott'm Forest,1,1,1,1,1,1,11
2,Nott'm Forest,3,4,1,0,2,1,7
3,Nott'm Forest,1,5,1,1,3,2,9
4,Nott'm Forest,3,8,1,0,4,2,7
5,Nott'm Forest,1,9,2,2,6,4,8
6,Nott'm Forest,0,9,0,1,6,5,10
7,Nott'm Forest,1,10,1,1,7,6,10
8,Nott'm Forest,3,13,1,0,8,6,8
9,Nott'm Forest,3,16,3,1,11,7,7
10,Nott'm Forest,3,19,3,0,14,7,3
11,Nott'm Forest,0,19,1,3,15,10,5
12,Nott'm Forest,0,19,0,3,15,13,7
13,Nott'm Forest,3,22,1,0,16,13,6
14,Nott'm Forest,0,22,0,3,16,16,7
15,Nott'm Forest,3,25,3,2,19,18,5
16,Nott'm Forest,3,28,2,1,21,19,4
17,Nott'm Forest,3,31,2,0,23,19,4
18,Nott'm Forest,3,34,1,0,24,19,4
19,Nott'm Forest,3,37,2,0,26,19,3
20,Nott'm Forest,3,40,3,0,29,19,3
21,Nott'm Forest,1,41,1,1,30,20,3
22,Nott'm Forest,3,44,3,2,33,22,3
23,Nott'm Forest,0,44,0,5,33,27,3
24,Nott'm Forest,3,47,7,0,40,27,3
25,Nott'm Forest,0,47,1,2,41,29,3
26,Nott'm Forest,0,47,3,4,44,33,3
27,Nott'm Forest,1,48,0,0,44,33,3
28,Nott'm Forest,3,51,1,0,45,33,3
29,Nott'm Forest,3,54,4,2,49,35,3
30,Nott'm Forest,3,57,1,0,50,35,3
31,Nott'm Forest,0,57,1,2,51,37,3
32,Nott'm Forest,0,57,0,1,51,38,4
33,Nott'm Forest,3,60,2,1,53,39,3
34,Nott'm Forest,0,60,0,2,53,41,6
35,Nott'm Forest,1,61,1,1,54,42,6
36,Nott'm Forest,1,62,2,2,56,44,7
37,Nott'm Forest,3,65,2,1,58,45,7
38,Nott'm Forest,0,65,0,1,58,46,7
